parameter,corr,n,unique
max_alternate_alleles,0.5099870350860661,225,11
max_reads_per_alignment_start,-0.491640380264541,225,16
indel_heterozygosity,0.45887492157580345,225,31
recover_all_dangling_branches,-0.4441400833005597,225,2
heterozygosity,0.4263832248522308,225,20
assembly_region_padding,-0.3482150057676549,225,31
min_assembly_region_size,-0.3287621549530366,225,14
min_mapping_quality_score,-0.29163291834695343,225,21
min_pruning,-0.27756495758470934,225,6
pruning_lod_threshold,0.2542259040744114,225,38
min_base_quality_score,-0.20344046759266726,225,12
pair_hmm_gap_continuation_penalty,0.18960699531376166,225,11
max_assembly_region_size,-0.18444211644755962,225,9
max_num_haplotypes_in_population,-0.1811000016518725,225,24
active_probability_threshold,0.15535734826972394,225,18
standard_min_confidence_threshold_for_calling,-0.13762410760655233,225,35
contamination_fraction_to_filter,0.12876597449895005,225,16
dont_use_soft_clipped_bases,-0.1225899481570336,225,2
base_quality_score_threshold,-0.07025987897623574,225,19
phred_scaled_global_read_mismapping_rate,-0.057863660076619666,225,12
adaptive_pruning_initial_error_rate,0.042737826362267126,225,15
min_dangling_branch_length,-0.04228485131085787,225,6
