parameter,correlation_with_combined_final,n,unique_values,abs_corr
max_reads_per_alignment_start,-0.4533001798826242,312,16,0.4533001798826242
indel_heterozygosity,0.43646974635843916,312,36,0.43646974635843916
max_alternate_alleles,0.4347129288311878,312,12,0.4347129288311878
recover_all_dangling_branches,-0.40805248136371197,312,2,0.40805248136371197
heterozygosity,0.37243872653778815,312,26,0.37243872653778815
assembly_region_padding,-0.34398745366844413,312,31,0.34398745366844413
min_pruning,-0.27175910228867495,312,8,0.27175910228867495
min_assembly_region_size,-0.25753949899168566,312,19,0.25753949899168566
min_mapping_quality_score,-0.2476950833666055,312,23,0.2476950833666055
max_num_haplotypes_in_population,-0.21172945073420427,312,24,0.21172945073420427
max_assembly_region_size,-0.21120818940839545,312,10,0.21120818940839545
pair_hmm_gap_continuation_penalty,0.19786764418523023,312,11,0.19786764418523023
min_base_quality_score,-0.17975260160653583,312,14,0.17975260160653583
pruning_lod_threshold,0.17593594124305909,312,44,0.17593594124305909
standard_min_confidence_threshold_for_calling,-0.16316271336156166,312,45,0.16316271336156166
base_quality_score_threshold,-0.1457836609702422,312,23,0.1457836609702422
min_dangling_branch_length,-0.1253237449288566,312,7,0.1253237449288566
dont_use_soft_clipped_bases,-0.11506530589757462,312,2,0.11506530589757462
phred_scaled_global_read_mismapping_rate,-0.11397104473218725,312,16,0.11397104473218725
active_probability_threshold,0.11183473279025015,312,20,0.11183473279025015
contamination_fraction_to_filter,0.05904968609690088,312,18,0.05904968609690088
adaptive_pruning_initial_error_rate,0.033276539281626674,312,17,0.033276539281626674
adjust_MQ,,0,0,
cnn_homref_call_min_gq,,0,0,
count_orphans,,0,0,
del_bias,,0,0,
delta_BQ,,0,0,
emit_ref_confidence,,0,0,
ext_prob,,0,0,
full_BAQ,,0,0,
gap_frac,,0,0,
indel_bias,,0,0,
keep_duplicates,,0,0,
max_BQ,,0,0,
max_depth,,0,0,
max_idepth,,0,0,
max_reads_per_partition,,0,0,
min_BQ,,0,0,
min_MQ,,0,0,
min_base_quality,,0,0,
min_ireads,,0,0,
min_mapping_quality,,0,0,
model_type,,0,0,
multi_allelic_qual_filter,,0,0,
multiallelic_caller,,0,0,
no_BAQ,,0,0,
normalize_reads,,0,0,
open_prob,,0,0,
pcr_indel_model,,0,0,
phase_reads,,0,0,
ploidy,,0,0,
prior,,0,0,
pval_threshold,,0,0,
qual_filter,,0,0,
realign_reads,,0,0,
redo_BAQ,,0,0,
sample_ploidy,,312,1,
score_vs_ref,,0,0,
sort_by_haplotypes,,0,0,
tandem_qual,,0,0,
use_multiallelic_model,,0,0,
variants_only,,0,0,
vsc_min_count_indels,,0,0,
vsc_min_count_snps,,0,0,
vsc_min_fraction_indels,,0,0,
vsc_min_fraction_snps,,0,0,
