parameter,correlation_with_combined_final,n,unique_values,abs_corr
max_alternate_alleles,0.5099870350860661,225,11,0.5099870350860661
max_reads_per_alignment_start,-0.491640380264541,225,16,0.491640380264541
indel_heterozygosity,0.45887492157580345,225,31,0.45887492157580345
recover_all_dangling_branches,-0.44414008330055965,225,2,0.44414008330055965
heterozygosity,0.4263832248522308,225,20,0.4263832248522308
assembly_region_padding,-0.34821500576765485,225,31,0.34821500576765485
min_assembly_region_size,-0.3287621549530366,225,14,0.3287621549530366
min_mapping_quality_score,-0.29163291834695343,225,21,0.29163291834695343
min_pruning,-0.27756495758470934,225,6,0.27756495758470934
pruning_lod_threshold,0.2542259040744114,225,38,0.2542259040744114
min_base_quality_score,-0.20344046759266726,225,12,0.20344046759266726
pair_hmm_gap_continuation_penalty,0.18960699531376166,225,11,0.18960699531376166
max_assembly_region_size,-0.18444211644755956,225,9,0.18444211644755956
max_num_haplotypes_in_population,-0.1811000016518725,225,24,0.1811000016518725
active_probability_threshold,0.15535734826972394,225,18,0.15535734826972394
standard_min_confidence_threshold_for_calling,-0.13762410760655233,225,35,0.13762410760655233
contamination_fraction_to_filter,0.12876597449895005,225,16,0.12876597449895005
dont_use_soft_clipped_bases,-0.1225899481570336,225,2,0.1225899481570336
base_quality_score_threshold,-0.07025987897623573,225,19,0.07025987897623573
phred_scaled_global_read_mismapping_rate,-0.057863660076619666,225,12,0.057863660076619666
adaptive_pruning_initial_error_rate,0.042737826362267146,225,15,0.042737826362267146
min_dangling_branch_length,-0.04228485131085787,225,6,0.04228485131085787
adjust_MQ,,0,0,
cnn_homref_call_min_gq,,0,0,
count_orphans,,0,0,
del_bias,,0,0,
delta_BQ,,0,0,
emit_ref_confidence,,0,0,
ext_prob,,0,0,
full_BAQ,,0,0,
gap_frac,,0,0,
indel_bias,,0,0,
keep_duplicates,,0,0,
max_BQ,,0,0,
max_depth,,0,0,
max_idepth,,0,0,
max_reads_per_partition,,0,0,
min_BQ,,0,0,
min_MQ,,0,0,
min_base_quality,,0,0,
min_ireads,,0,0,
min_mapping_quality,,0,0,
model_type,,0,0,
multi_allelic_qual_filter,,0,0,
multiallelic_caller,,0,0,
no_BAQ,,0,0,
normalize_reads,,0,0,
open_prob,,0,0,
pcr_indel_model,,0,0,
phase_reads,,0,0,
ploidy,,0,0,
prior,,0,0,
pval_threshold,,0,0,
qual_filter,,0,0,
realign_reads,,0,0,
redo_BAQ,,0,0,
sample_ploidy,,225,1,
score_vs_ref,,0,0,
sort_by_haplotypes,,0,0,
tandem_qual,,0,0,
use_multiallelic_model,,0,0,
variants_only,,0,0,
vsc_min_count_indels,,0,0,
vsc_min_count_snps,,0,0,
vsc_min_fraction_indels,,0,0,
vsc_min_fraction_snps,,0,0,
