parameter,corr,n,unique
min_assembly_region_size,-0.3176667562144296,224,14
min_pruning,-0.314594367619852,224,6
max_reads_per_alignment_start,-0.2968958916129154,224,16
recover_all_dangling_branches,-0.2565018927153439,224,2
max_alternate_alleles,0.2451030678801295,224,11
assembly_region_padding,-0.23167148095582074,224,31
indel_heterozygosity,0.19306109524065077,224,31
max_assembly_region_size,-0.18230852907393175,224,9
heterozygosity,0.16864761263822323,224,20
min_dangling_branch_length,-0.16542025591335205,224,6
dont_use_soft_clipped_bases,-0.15043226353870495,224,2
max_num_haplotypes_in_population,-0.14922415552891954,224,24
base_quality_score_threshold,-0.10868928786496641,224,19
standard_min_confidence_threshold_for_calling,-0.09678351140483651,224,35
phred_scaled_global_read_mismapping_rate,0.09501158964461855,224,12
adaptive_pruning_initial_error_rate,-0.06939102465671634,224,14
pair_hmm_gap_continuation_penalty,0.0451371285170144,224,11
min_mapping_quality_score,-0.038193713424662185,224,21
active_probability_threshold,-0.022655531074252055,224,18
contamination_fraction_to_filter,0.0067305700558848705,224,16
min_base_quality_score,-0.006653259357740379,224,12
pruning_lod_threshold,-0.00385848746816925,224,38
