parameter,corr,n,unique
heterozygosity,0.6561890085783204,225,20
contamination_fraction_to_filter,0.5740638345828282,225,16
indel_heterozygosity,0.5416907499398561,225,31
max_reads_per_alignment_start,-0.46205615423628155,225,16
min_base_quality_score,-0.4300319280432345,225,12
min_assembly_region_size,-0.4289614814587776,225,14
max_alternate_alleles,0.4146091792534476,225,11
pruning_lod_threshold,0.3858140292948672,225,38
min_mapping_quality_score,-0.3342721348569841,225,21
active_probability_threshold,0.31782530361952693,225,18
recover_all_dangling_branches,-0.2455387263388071,225,2
standard_min_confidence_threshold_for_calling,-0.20620667636180398,225,35
dont_use_soft_clipped_bases,-0.2061659237384727,225,2
phred_scaled_global_read_mismapping_rate,-0.20349040719590744,225,12
min_pruning,-0.19945380353654588,225,6
max_assembly_region_size,0.13445784999157315,225,9
max_num_haplotypes_in_population,0.1318162777356686,225,24
min_dangling_branch_length,-0.12283840186797683,225,6
assembly_region_padding,-0.09552673934104426,225,31
pair_hmm_gap_continuation_penalty,0.05386740679393876,225,11
base_quality_score_threshold,0.0528305661877525,225,19
adaptive_pruning_initial_error_rate,0.021429471211497037,225,15
