parameter,corr,n,unique
max_reads_per_alignment_start,-0.3275544261655641,224,16
indel_heterozygosity,0.2998282701057134,224,31
recover_all_dangling_branches,-0.26788294373329297,224,2
max_alternate_alleles,0.26680236941976515,224,11
assembly_region_padding,-0.24726900448553524,224,31
heterozygosity,0.23061070913742454,224,20
max_assembly_region_size,-0.17442356186178334,224,9
pair_hmm_gap_continuation_penalty,0.16216022338431899,224,11
pruning_lod_threshold,0.15331446046779307,224,38
max_num_haplotypes_in_population,-0.13929397309564512,224,24
min_dangling_branch_length,0.12212149156336424,224,6
dont_use_soft_clipped_bases,-0.1103168916679168,224,2
min_mapping_quality_score,-0.10954696645375972,224,21
base_quality_score_threshold,-0.10353615265802893,224,19
adaptive_pruning_initial_error_rate,0.08447216455965041,224,14
min_pruning,-0.07543652317904087,224,6
standard_min_confidence_threshold_for_calling,-0.06587735006545449,224,35
min_base_quality_score,0.05992259322398505,224,12
active_probability_threshold,0.03674425905532729,224,18
contamination_fraction_to_filter,0.021037574530234332,224,16
min_assembly_region_size,-0.01934743399600701,224,14
phred_scaled_global_read_mismapping_rate,-0.007723721254430018,224,12
