parameter,corr,n,unique
heterozygosity,0.7320007056569756,225,20
contamination_fraction_to_filter,0.7008501576780909,225,16
indel_heterozygosity,0.5908716903072282,225,31
max_reads_per_alignment_start,-0.4804611805863157,225,16
min_base_quality_score,-0.4721082138061716,225,12
pruning_lod_threshold,0.4660762525707592,225,38
max_alternate_alleles,0.3947430652670642,225,11
min_assembly_region_size,-0.37802344463498255,225,14
min_mapping_quality_score,-0.374279412274283,225,21
active_probability_threshold,0.35906383600782404,225,18
phred_scaled_global_read_mismapping_rate,-0.2684432689078774,225,12
dont_use_soft_clipped_bases,-0.22837426947878578,225,2
standard_min_confidence_threshold_for_calling,-0.21464882538718166,225,35
max_assembly_region_size,0.2136606349283041,225,9
recover_all_dangling_branches,-0.20837032300123473,225,2
max_num_haplotypes_in_population,0.20692551613296797,225,24
min_pruning,-0.1098454554324315,225,6
base_quality_score_threshold,0.08572023964085865,225,19
min_dangling_branch_length,-0.06643345853655652,225,6
pair_hmm_gap_continuation_penalty,0.056320946160094885,225,11
assembly_region_padding,-0.04510522705950301,225,31
adaptive_pruning_initial_error_rate,0.0448406087936786,225,15
