parameter,corr,n,unique
min_assembly_region_size,-0.3612368104557833,224,14
min_pruning,-0.3511372571613356,224,6
max_reads_per_alignment_start,-0.2699258561743684,224,16
recover_all_dangling_branches,-0.24453994582805832,224,2
min_dangling_branch_length,-0.2289411141232284,224,6
max_alternate_alleles,0.22415522312807276,224,11
assembly_region_padding,-0.21953040790375952,224,31
max_assembly_region_size,-0.18384841151474837,224,9
dont_use_soft_clipped_bases,-0.16844881659547095,224,2
max_num_haplotypes_in_population,-0.15614333530432747,224,24
indel_heterozygosity,0.1516328455901996,224,31
heterozygosity,0.12487787497083012,224,20
phred_scaled_global_read_mismapping_rate,0.12302764658686059,224,12
base_quality_score_threshold,-0.1115327847914535,224,19
adaptive_pruning_initial_error_rate,-0.10432831411483254,224,14
standard_min_confidence_threshold_for_calling,-0.08636094076101637,224,35
pruning_lod_threshold,-0.053724014734078666,224,38
active_probability_threshold,-0.04161576223467034,224,18
pair_hmm_gap_continuation_penalty,0.023997920455318025,224,11
contamination_fraction_to_filter,-0.014773768490041897,224,16
min_base_quality_score,-0.01329455440508514,224,12
min_mapping_quality_score,-0.005562603488797944,224,21
