parameter,corr,n,unique
heterozygosity,0.5668090030431807,225,20
indel_heterozygosity,0.48084542301870253,225,31
contamination_fraction_to_filter,0.44744898447192577,225,16
min_assembly_region_size,-0.4395957319560801,225,14
max_reads_per_alignment_start,-0.42747426547850503,225,16
max_alternate_alleles,0.4113520955633773,225,11
min_base_quality_score,-0.3740295227211524,225,12
pruning_lod_threshold,0.30892973056505657,225,38
min_mapping_quality_score,-0.28893595365752317,225,21
active_probability_threshold,0.2718564912078521,225,18
recover_all_dangling_branches,-0.2640575798103307,225,2
min_pruning,-0.25307359512258754,225,6
standard_min_confidence_threshold_for_calling,-0.18868552096214394,225,35
dont_use_soft_clipped_bases,-0.17958743310551217,225,2
min_dangling_branch_length,-0.15309850867710154,225,6
phred_scaled_global_read_mismapping_rate,-0.14517002446185595,225,12
assembly_region_padding,-0.1314072253785038,225,31
max_num_haplotypes_in_population,0.06599996305951021,225,24
max_assembly_region_size,0.06569470888917624,225,9
pair_hmm_gap_continuation_penalty,0.05329175116259212,225,11
base_quality_score_threshold,0.02336774868211585,225,19
adaptive_pruning_initial_error_rate,0.00632889544869858,225,15
