parameter,corr,n,unique
max_alternate_alleles,0.5100031892768143,225,11
max_reads_per_alignment_start,-0.49165727499479894,225,16
indel_heterozygosity,0.4588919870385942,225,31
recover_all_dangling_branches,-0.44414128672107445,225,2
heterozygosity,0.42639234313826163,225,20
assembly_region_padding,-0.3482203093405574,225,31
min_assembly_region_size,-0.3287501320638097,225,14
min_mapping_quality_score,-0.29163912335223136,225,21
min_pruning,-0.277572932479258,225,6
pruning_lod_threshold,0.2542540589278261,225,38
min_base_quality_score,-0.20342328384950684,225,12
pair_hmm_gap_continuation_penalty,0.18962967624183236,225,11
max_assembly_region_size,-0.18444248954293233,225,9
max_num_haplotypes_in_population,-0.18109869279754193,225,24
active_probability_threshold,0.15537519230677768,225,18
standard_min_confidence_threshold_for_calling,-0.13761361882087253,225,35
contamination_fraction_to_filter,0.12877483149527558,225,16
dont_use_soft_clipped_bases,-0.12257814952621557,225,2
base_quality_score_threshold,-0.07026080929573673,225,19
phred_scaled_global_read_mismapping_rate,-0.0578820107077344,225,12
adaptive_pruning_initial_error_rate,0.042778988168248044,225,15
min_dangling_branch_length,-0.04226121139078947,225,6
