parameter,2026-07-05T22:40:00+00:00 | 0.970569 | s97.06,2026-07-03T13:04:00+00:00 | 0.970113 | s97.01,2026-07-03T23:52:00+00:00 | 0.969297 | s96.93,2026-07-02T07:04:00+00:00 | 0.967876 | s96.79,2026-07-05T07:04:00+00:00 | 0.966692 | s96.67,2026-07-05T04:40:00+00:00 | 0.961391 | s96.14,2026-07-03T11:52:00+00:00 | 0.960688 | s96.07,2026-07-04T04:40:00+00:00 | 0.960187 | s96.02,2026-07-04T17:52:00+00:00 | 0.960120 | s96.01,2026-06-27T11:52:00+00:00 | 0.955135 | s95.51
pcr_indel_model,,,,,,,,,,
standard_min_confidence_threshold_for_calling,27.2,20.0,27.0,27.2,30.0,20.0,30.0,20.0,25.5,27.0
min_base_quality_score,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,12.0,5.0
min_mapping_quality_score,20.0,13.0,7.0,20.0,13.0,13.0,13.0,13.0,27.0,20.0
recover_all_dangling_branches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
min_dangling_branch_length,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0
dont_use_soft_clipped_bases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_pruning,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0
max_alternate_alleles,8.0,15.0,12.0,8.0,13.0,15.0,13.0,15.0,8.0,8.0
pruning_lod_threshold,3.303,4.036,3.536,3.303,3.736,3.036,3.736,4.036,3.397,3.303
max_reads_per_alignment_start,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,40.0
pair_hmm_gap_continuation_penalty,8.0,13.0,7.0,8.0,8.0,13.0,8.0,13.0,8.0,9.0
phred_scaled_global_read_mismapping_rate,40.0,35.0,35.0,40.0,35.0,35.0,35.0,35.0,35.0,60.0
active_probability_threshold,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
assembly_region_padding,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,130.0
max_num_haplotypes_in_population,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,333.0
heterozygosity,0.006,0.005,0.005,0.005,0.004,0.005,0.004,0.005,0.005,0.004
indel_heterozygosity,0.0005,0.0004,0.0004,0.00035,0.0003,0.0003,0.0003,0.0004,0.00035,0.000297
sample_ploidy,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
base_quality_score_threshold,20.0,18.0,21.0,20.0,18.0,18.0,18.0,15.0,26.0,15.0
emit_ref_confidence,,,,,,,,,,
contamination_fraction_to_filter,0.18,0.17,0.16,0.2,0.2,0.2,0.2,0.17,0.2,0.2
min_assembly_region_size,30.0,20.0,20.0,30.0,20.0,20.0,20.0,17.0,20.0,30.0
max_assembly_region_size,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,500.0
adaptive_pruning_initial_error_rate,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
multiallelic_caller,,,,,,,,,,
variants_only,,,,,,,,,,
ploidy,,,,,,,,,,
min_MQ,,,,,,,,,,
min_BQ,,,,,,,,,,
prior,,,,,,,,,,
indel_bias,,,,,,,,,,
open_prob,,,,,,,,,,
gap_frac,,,,,,,,,,
max_depth,,,,,,,,,,
max_idepth,,,,,,,,,,
max_BQ,,,,,,,,,,
delta_BQ,,,,,,,,,,
adjust_MQ,,,,,,,,,,
ext_prob,,,,,,,,,,
tandem_qual,,,,,,,,,,
del_bias,,,,,,,,,,
min_ireads,,,,,,,,,,
score_vs_ref,,,,,,,,,,
no_BAQ,,,,,,,,,,
full_BAQ,,,,,,,,,,
redo_BAQ,,,,,,,,,,
count_orphans,,,,,,,,,,
pval_threshold,,,,,,,,,,
model_type,,,,,,,,,,
vsc_min_fraction_snps,,,,,,,,,,
vsc_min_fraction_indels,,,,,,,,,,
vsc_min_count_snps,,,,,,,,,,
vsc_min_count_indels,,,,,,,,,,
min_mapping_quality,,,,,,,,,,
min_base_quality,,,,,,,,,,
qual_filter,,,,,,,,,,
multi_allelic_qual_filter,,,,,,,,,,
cnn_homref_call_min_gq,,,,,,,,,,
realign_reads,,,,,,,,,,
normalize_reads,,,,,,,,,,
keep_duplicates,,,,,,,,,,
max_reads_per_partition,,,,,,,,,,
sort_by_haplotypes,,,,,,,,,,
phase_reads,,,,,,,,,,
use_multiallelic_model,,,,,,,,,,
