parameter,top10_mean,bottom10_mean,delta_top_minus_bottom,top10_unique,bottom10_unique,top10_mode,bottom10_mode,abs_delta
max_assembly_region_size,320.0,480.0,-160.0,2,5,300.0,500.0,160.0
max_num_haplotypes_in_population,234.9,345.6,-110.70000000000002,2,4,224.0,384.0,110.70000000000002
assembly_region_padding,85.0,141.3,-56.30000000000001,2,10,80.0,80.0,56.30000000000001
min_assembly_region_size,22.7,51.0,-28.3,3,4,20.0,30.0,28.3
max_reads_per_alignment_start,29.2,37.8,-8.599999999999998,2,5,28.0,40.0,8.599999999999998
max_alternate_alleles,11.5,8.4,3.0999999999999996,4,4,8.0,8.0,3.0999999999999996
standard_min_confidence_threshold_for_calling,25.39,28.43,-3.039999999999999,5,6,20.0,27.0,3.039999999999999
phred_scaled_global_read_mismapping_rate,38.5,36.2,2.299999999999997,3,4,35.0,40.0,2.299999999999997
min_mapping_quality_score,15.9,17.7,-1.799999999999999,4,6,13.0,20.0,1.799999999999999
min_pruning,1.5,2.8,-1.2999999999999998,2,3,1.0,2.0,1.2999999999999998
recover_all_dangling_branches,0.1,0.9,-0.8,2,2,0.0,1.0,0.8
min_dangling_branch_length,2.6,3.4,-0.7999999999999998,2,3,2.0,2.0,0.7999999999999998
base_quality_score_threshold,18.9,18.3,0.5999999999999979,5,6,18.0,15.0,0.5999999999999979
pair_hmm_gap_continuation_penalty,9.5,9.1,0.40000000000000036,4,4,8.0,8.0,0.40000000000000036
min_base_quality_score,6.3,6.5,-0.20000000000000018,3,3,6.0,5.0,0.20000000000000018
pruning_lod_threshold,3.5422,3.6859,-0.14370000000000038,6,4,3.303,3.0,0.14370000000000038
contamination_fraction_to_filter,0.188,0.28099999999999997,-0.09299999999999997,4,2,0.2,0.3,0.09299999999999997
active_probability_threshold,0.0020000000000000005,0.0022600000000000003,-0.0002599999999999998,1,3,0.002,0.002,0.0002599999999999998
heterozygosity,0.0048000000000000004,0.00462,0.00018000000000000047,3,7,0.005,0.0046,0.00018000000000000047
adaptive_pruning_initial_error_rate,0.0020000000000000005,0.00218,-0.0001799999999999996,1,6,0.002,0.002,0.0001799999999999996
indel_heterozygosity,0.0003597,0.00033180000000000004,2.7899999999999973e-05,5,6,0.0003,0.0003,2.7899999999999973e-05
dont_use_soft_clipped_bases,0.0,0.0,0.0,1,1,0.0,0.0,0.0
sample_ploidy,2.0,2.0,0.0,1,1,2.0,2.0,0.0
adjust_MQ,,,,0,0,,,
cnn_homref_call_min_gq,,,,0,0,,,
count_orphans,,,,0,0,,,
del_bias,,,,0,0,,,
delta_BQ,,,,0,0,,,
emit_ref_confidence,,,,0,0,,,
ext_prob,,,,0,0,,,
full_BAQ,,,,0,0,,,
gap_frac,,,,0,0,,,
indel_bias,,,,0,0,,,
keep_duplicates,,,,0,0,,,
max_BQ,,,,0,0,,,
max_depth,,,,0,0,,,
max_idepth,,,,0,0,,,
max_reads_per_partition,,,,0,0,,,
min_BQ,,,,0,0,,,
min_MQ,,,,0,0,,,
min_base_quality,,,,0,0,,,
min_ireads,,,,0,0,,,
min_mapping_quality,,,,0,0,,,
model_type,,,,0,0,,,
multi_allelic_qual_filter,,,,0,0,,,
multiallelic_caller,,,,0,0,,,
no_BAQ,,,,0,0,,,
normalize_reads,,,,0,0,,,
open_prob,,,,0,0,,,
pcr_indel_model,,,,0,0,,,
phase_reads,,,,0,0,,,
ploidy,,,,0,0,,,
prior,,,,0,0,,,
pval_threshold,,,,0,0,,,
qual_filter,,,,0,0,,,
realign_reads,,,,0,0,,,
redo_BAQ,,,,0,0,,,
score_vs_ref,,,,0,0,,,
sort_by_haplotypes,,,,0,0,,,
tandem_qual,,,,0,0,,,
use_multiallelic_model,,,,0,0,,,
variants_only,,,,0,0,,,
vsc_min_count_indels,,,,0,0,,,
vsc_min_count_snps,,,,0,0,,,
vsc_min_fraction_indels,,,,0,0,,,
vsc_min_fraction_snps,,,,0,0,,,
